2014-05-12	42086.17	445.06	1.07	42086.73	41591.98	
2014-05-13	42236.83	150.66	0.36	42492.61	41926.62	
2014-05-14	42144.51	-92.32	-0.22	42231.78	42017.99	
2014-05-15	41561.83	-582.68	-1.38	42200.11	41531.61	
2014-05-16	41898.84	337.01	0.81	42031.48	41543.86	
2014-05-19	41840.05	-58.79	-0.14	41903.02	41463.09	
2014-05-20	41805.10	-34.95	-0.08	42001.68	41668.83	
2014-05-21	41828.98	23.88	0.06	42056.90	41764.90	
2014-05-22	41943.96	114.98	0.27	42090.28	41813.15	
2014-05-23	41917.92	-26.04	-0.06	42035.70	41818.41	
2014-05-26	42004.58	86.66	0.21	42138.33	41896.15	
2014-05-27	41958.97	-45.61	-0.11	42144.25	41836.80	
2014-05-28	41960.45	1.48	0.00	42022.16	41862.43	
2014-05-29	42009.92	49.47	0.12	42095.80	41884.12	
2014-05-30	41362.51	-647.41	-1.54	42026.56	41360.81	
2014-06-02	41936.71	574.20	1.39	41953.99	41375.41	
2014-06-03	42126.09	189.38	0.45	42135.53	41807.68	
2014-06-04	41953.30	-172.79	-0.41	42127.90	41855.05	
2014-06-05	42173.03	219.73	0.52	42276.68	41949.23	
2014-06-06	42778.26	605.23	1.44	42840.41	42164.35	
2014-06-09	43009.99	231.73	0.54	43175.77	42729.66	
2014-06-10	43045.27	35.28	0.08	43049.04	42821.68	
2014-06-11	42944.81	-100.46	-0.23	43079.07	42759.38	
2014-06-12	42617.62	-327.19	-0.76	43016.48	42551.93	
2014-06-13	42485.66	-131.96	-0.31	42874.36	42485.63	
2014-06-16	42596.25	110.59	0.26	42641.11	42321.37	
2014-06-17	42612.64	16.39	0.04	42657.35	42446.47	
2014-06-18	42802.60	189.96	0.45	42821.25	42525.57	
2014-06-19	42957.36	154.76	0.36	43007.71	42787.11	
2014-06-20	42865.72	-91.64	-0.21	43038.58	42787.64	
2014-06-23	42916.73	51.01	0.12	42948.65	42691.35	
2014-06-24	42884.76	-31.97	-0.07	43016.76	42785.62	
2014-06-25	42854.19	-30.57	-0.07	42930.01	42786.37	
2014-06-26	42613.80	-240.39	-0.56	42916.54	42613.39	
2014-06-27	42493.86	-119.94	-0.28	42933.70	42481.30	
2014-06-30	42737.17	243.31	0.57	42795.15	42487.47	
2014-07-01	42872.84	135.67	0.32	42944.62	42602.18	
2014-07-02	43279.48	406.64	0.95	43279.48	42817.96	
2014-07-03	43660.70	381.22	0.88	43721.77	43228.22	
2014-07-04	43518.06	-142.64	-0.33	43669.79	43485.18	
2014-07-07	43452.55	-65.51	-0.15	43705.96	43433.20	
2014-07-08	43403.43	-49.12	-0.11	43495.39	43147.67	
2014-07-09	43686.75	283.32	0.65	43821.53	43353.79	
2014-07-10	43474.29	-212.46	-0.49	43690.98	43316.20	
2014-07-11	43481.83	7.54	0.02	43694.11	43437.66	
2014-07-14	43967.44	485.61	1.12	44001.19	43474.73	
2014-07-15	43960.43	-7.01	-0.02	44077.50	43862.84	
2014-07-16	44009.23	48.80	0.11	44133.23	43809.01	
2014-07-17	43920.76	-88.47	-0.20	44083.91	43837.25	
2014-07-18	44278.90	358.14	0.82	44312.87	43822.58	
2014-07-21	44125.73	-153.17	-0.35	44275.80	44023.69	
2014-07-22	44257.09	131.36	0.30	44512.39	44123.56	
2014-07-23	44199.01	-58.08	-0.13	44371.25	44156.27	
2014-07-24	44420.38	221.37	0.50	44564.17	44201.18	
2014-07-25	44386.62	-33.76	-0.08	44559.78	44272.39	
2014-07-28	44544.97	158.35	0.36	44559.29	44336.94	
2014-07-29	44481.29	-63.68	-0.14	44684.56	44452.88	
2014-07-30	44311.06	-170.23	-0.38	44714.41	44271.25	
2014-07-31	43817.69	-493.37	-1.11	44349.80	43546.02	
2014-08-01	43986.11	168.42	0.38	44094.83	43706.82	
2014-08-04	44594.66	608.55	1.38	44676.11	43982.95	
2014-08-05	44481.68	-112.98	-0.25	44674.95	44310.12	
2014-08-06	44425.77	-55.91	-0.13	44550.29	44251.32	
2014-08-07	44116.15	-309.62	-0.70	44541.13	44064.19	
2014-08-08	44105.95	-10.20	-0.02	44271.07	43885.43	
2014-08-11	44679.16	573.21	1.30	44720.41	44121.00	
2014-08-12	44734.04	54.88	0.12	44869.24	44609.54	
2014-08-13	44723.96	-10.08	-0.02	44974.96	44713.47	
2014-08-14	44793.02	69.06	0.15	44878.70	44665.96	
2014-08-15	44629.33	-163.69	-0.37	44863.82	44474.47	
2014-08-18	44854.81	225.48	0.51	44871.24	44637.27	
2014-08-19	44962.88	108.07	0.24	45000.62	44717.88	
2014-08-20	45248.05	285.17	0.63	45250.06	44808.11	
2014-08-21	45410.36	162.31	0.36	45429.54	45160.40	
2014-08-22	45374.99	-35.37	-0.08	45517.14	45172.44	
2014-08-25	45504.34	129.35	0.29	45575.27	45351.46	
2014-08-26	45464.75	-39.59	-0.09	45657.57	45416.13	
2014-08-27	45601.00	136.25	0.30	45619.38	45417.49	
2014-08-28	45501.28	-99.72	-0.22	45598.32	45348.41	
2014-08-29	45628.09	126.81	0.28	45762.37	45397.19	
2014-09-01	45438.04	-190.05	-0.42	45664.00	45317.77	
2014-09-02	45825.06	387.02	0.85	45830.54	45409.59	
2014-09-03	46049.33	224.27	0.49	46065.42	45819.69	
2014-09-04	46313.40	264.07	0.57	46331.90	46042.55	
2014-09-05	46231.44	-81.96	-0.18	46406.50	46224.69	
2014-09-08	46357.24	125.80	0.27	46554.28	46199.10	
2014-09-09	45915.17	-442.07	-0.95	46427.90	45887.20	
2014-09-10	45894.05	-21.12	-0.05	46109.10	45745.24	
2014-09-12	45799.70	-221.45	-0.48	45908.16	45625.76	
2014-09-15	45861.84	62.14	0.14	46133.38	45661.22	
2014-09-17	46043.62	181.78	0.40	46147.40	45859.02	
2014-09-18	46168.64	125.02	0.27	46170.38	46025.80	
2014-09-19	45761.90	-406.74	-0.88	46230.10	45646.02	
2014-09-22	45302.00	-459.90	-1.00	45767.67	45060.30	
2014-09-23	45015.17	-286.83	-0.63	45406.98	44834.22	
2014-09-24	45116.94	101.77	0.23	45266.47	44991.12	
2014-09-25	44781.12	-335.82	-0.74	45150.70	44624.06	
2014-09-26	44884.33	103.21	0.23	44986.92	44695.13	
2014-09-29	44898.19	13.86	0.03	44918.40	44426.60	
2014-09-30	44985.66	87.47	0.19	45051.91	44769.30	
2014-10-01	44364.96	-620.70	-1.38	45058.05	44364.96	
2014-10-02	44254.43	-110.53	-0.25	44374.58	43941.65	
2014-10-03	44678.14	423.71	0.96	44719.87	44255.23	
2014-10-06	44820.85	142.71	0.32	45223.00	44645.62	
2014-10-07	44536.62	-284.23	-0.63	44845.93	44466.76	
2014-10-08	44487.97	-48.65	-0.11	44717.05	44123.97	
2014-10-09	44082.17	-405.80	-0.91	44609.62	44049.49	
2014-10-10	43435.73	-646.44	-1.47	44082.12	43435.34	
2014-10-13	43088.67	-347.06	-0.80	43560.79	43088.67	
2014-10-14	43179.85	91.18	0.21	43338.71	43068.06	
2014-10-15	42984.95	-194.90	-0.45	43174.74	42431.14	
2014-10-16	42907.62	-77.33	-0.18	43144.92	42524.39	
2014-10-17	43273.50	365.88	0.85	43580.79	42916.76	
2014-10-20	43213.90	-59.60	-0.14	43373.50	42995.98	
2014-10-21	43630.58	416.68	0.96	43725.24	43117.27	
2014-10-22	43450.75	-179.83	-0.41	43806.16	43434.89	
2014-10-23	43691.06	240.31	0.55	43869.18	43456.55	
2014-10-24	43665.54	-25.52	-0.06	43822.12	43543.69	
2014-10-27	43810.51	144.97	0.33	43813.47	43393.05	
2014-10-28	44039.64	229.13	0.52	44202.19	43774.76	
2014-10-29	44238.94	199.30	0.45	44308.06	43938.27	
